,spoken_words,analise
136,"Mr. Simpson, how do you respond to the charge that petty vandalism such as graffiti is down 80 percent, while heavy sack beatings are up a shocking 900 percent?",neutral
137,"Aw, people can come up with statistics to prove anything, Kent. Forty percent of all people know that.",negative
138,"I see. Well, what do you say to the accusation that your group has been causing more crimes than it's been preventing?",negative
139,"Oh, Kent, I'd be lying if I said my men weren't committing crimes.",
140,Touché.,neutral
141,"Well, it looks like we have our first caller. And I mean ever, because this is not a call-in show. Hello, you're on the air.",positive
142,"Hello, Kent. Hello, Homer, my arch nemesis.",negative
143,Y'ello.,neutral
144,"Uh, you do realize who this is...",negative
145,Uh... Marge?,neutral
146,"No, Homer, I'm not your wife, although I do enjoy her pearls. As a matter of fact, I'm holding them right now. Listen.",negative
147,Why you monster! And you have my daughter's saxophone too!,negative
148,"Homer, that's our stage manager!",
149,Oh sorry. I'm a little nervous.,
150,"It may interest you to know that for my next crime I'll be pinching the pride and joy of the Springfield Museum, the world's largest cubic zirconia.",negative
151,"Listen, Mr. Cat Burglar, I vow to go without sleep and guard the Springfield museum day and night for as long as it takes, from now on unless you want to taunt me more by giving me an approximate time.",negative
152,We'll be right back.,neutral
153,I get to say that.,positive
154,"Son, we wanna help you catch that plug-ugly-yegg.",positive
155,"Dad, the best way for you to help is to set a good example. Just stand around and don't steal anything.",positive
156,Hey!,positive
157,We're on our break!,neutral
158,Any sign of the burglar yet?,neutral
159,He'll show.,
160,How's that?,neutral
161,It's his job.,neutral
162,How's that?,neutral
163,He's a burglar.,negative
164,"Well, Mr. Cat Burglar, you'd like to get in here, wouldn't you? There's just one little problem. Thirty-six years ago some lady gave birth to a man named Homer J. Sim -- Oh my God! Underage kids drinking beer without a permit!",negative
165,Chug! Chug! Chug! Chug! Chug!,negative
166,Asleep at the switch! I wasn't asleep! I was drunk!,negative
167,"I believe you, Dad.",negative
168,"Well, no matter what the paper says, I still have a job to do.",neutral
169,"Go home, Simpson.",neutral
170,"You let me down, man. Now I don't believe in nothing no more. I'm going to law school.",
171,"You let me down, man. Now I don't believe in nothing no more. I'm going to law school.",negative
172,Nooooo!,negative
173,"Dad, maybe this will cheer you up.",positive
174,"Oh, this doesn't work any more.",negative
175,I didn't say stop.,neutral
176,Oh my! I had no idea how much this town loved that zirconia.,positive
177,Let me through! Coming through!,neutral
178,"Oh, Grampa. They pelted you too?",negative
179,No. Actually I fell down at the Big Boy.,negative
180,"Son, I've come to help you. I know who the cat burglar is.",
181,What? Who? Huh? What?,neutral
182,"Well, well, well. Before I was too old and no one wanted my help. Suddenly, look who comes to old Grampa for--wait! Where're you going?",neutral
183,Come back. I'll tell you.,positive
184,He was right under my nose the whole time. He lives in my retirement home. His name is Molloy.,positive
185,"Wow! How'd you track him down, Grampa?",neutral
186,Good question.,negative
187,On one of my frequent trips to the ground... I noticed Molloy wore sneakers.,neutral
188,For sneaking! My next clue came just yesterday at the museum. We felt slighted by your age-bashing and started home.,neutral
189,"Molloy said, 'I'll catch up with you.'",neutral
190,"I couldn't quite put my finger on it. There was something strange about the way he walked. Much more vertical than usual. And finally, Molloy, unlike most retired people, has the world's largest cubic zirconia on his coffee table.",neutral
191,"Aw, Dad, I could kiss you.",negative
192,"Aw, Dad, I could kiss you.",positive
193,Well kiss me right here. It's the only part that still has feeling.,neutral
194,Well kiss me right here. It's the only part that still has feeling.,positive
195,No wait! I know where the burglar is!,neutral
196,No wait! I know where the burglar is!,positive
197,To the retirement home!,neutral
198,To the retirement home!,positive
199,Hooray!,
200,Hooray!,positive
201,And there she is: the world's largest cubic zirconia.,negative
202,What an eyesore.,negative
203,"So, Mr. Molloy. It seems that the cat has been caught by the very person that was trying to catch him.",neutral
204,How ironic.,neutral
205,"Homer old chum. Well done. If anyone was going to catch me, I'm glad it was you.",
206,"Actually, it wasn't me. It was my Dad, Grampa.",neutral
207,"Thanks, son. So you see old people aren't so useless after all. Molloy's old and he outsmarted the lot of ya. And I'm even older and I outsmarted him.",positive
208,Shut up.,negative
209,I've had my moment.,positive
210,"And of course, I'm happy to return all of your treasured possessions.",positive
211,"Selma, my dear, your lock of MacGyver's hair.",positive
212,Thank you. I'll add it to the ball.,positive
213,"And little Lisa, here's your saxophone.",positive
214,"Thank you. And thank you, Dad. You got it back, just like you said you would.",
215,"I sincerely regret any inconvenience I may have caused. And although I have stolen your material goods, let me assure you that your dear town has stolen my heart.",
216,Awwwww.,positive
217,"Oh, he's so charming!",positive
218,Let's let him go.,neutral
219,Yeah!,positive
220,"Oh, sorry, folks. Gee, I really hate to spoil this little love-in, but Mr. Molloy broke the law. And when you break the law, you gotta go to jail.",negative
221,"Uh, that reminds me, uh, here's your monthly kickback.",neutral
222,"You just, you couldn't have picked a worse time.",negative
223,I caught the cat burglar. I caught the cat burglar. That means you. You are the cat burglar.,negative
224,I suppose you're wondering where I hid all the millions of dollars I stole over the years.,negative
225,Shut up.,negative
226,"Oh, wait a minute. Maybe we should uh, hear him out. Where'd you hide the loot, Molloy?",
227,"Oh, wait a minute. Maybe we should uh, hear him out. Where'd you hide the loot, Molloy?",neutral
228,"It's buried right here in Springfield, under a Big T.",neutral
229,No kidding.,neutral
230,"Big T, huh?",neutral
231,"Well, I guess I'll be going to my home now and... sleep.",positive
232,"Yeah, me too. I will also go home for sleep.",neutral
233,Lemme through! I gotta find a Big T. There's millions of dollars buried under a Big T!,positive
234,We need more information.,neutral
235,It's buried at 4723 Maple Valley Road.,
236,"Ah, you take highway 201 south for 15 minutes... take a left at the left.",
237,"Oh, that was fun, ladies!",positive
238,"Whatsa matter with you, kid? You told me the stream was shallow. Why you... oh kid... I'll kill you...",negative
239,"Hordes of panicky people seem to be evacuating the town for some unknown reason. Professor, without knowing precisely what the danger is, would you say it's time for our viewers to crack each other's heads open and feast on the goo inside?",neutral
240,"Yes I would, Kent.",positive
241,"Whoa, I found something!",positive
242,It's just a piece of paper.,neutral
243,It's mine!,negative
244,"""Frightfully sorry, but there is no hidden treasure. I have already used this time to escape from your jail. Fondest wishes."" Oh, I can't make out this signature.",neutral
245,Keep digging. We're bound to find something.,
246,Hmmm. I guess we're not gonna find anything.,
247,"Uh, how're we gonna get outta here?",negative
248,We'll dig our way out!,positive
249,"No, no! Dig up, stupid!",negative
250,"Mental note: ""The girl knows too much.""",
